Club,Player,Age,Position,Market Value(in Million),Club Transfer Status,Transfer Fee
Wolves,Ben Stevenson,21,Central Midfield,325000,Out,loan transfer
Wolves,Kortney Hause,23,Centre Back,2200000,Out,loan transfer
Wolves,Bright Enobakhare,20,Centre Forward,200000,Out,loan transfer
Wolves,Ming Yang Yang,22,Defensive Midfield,200000,Out,loan transfer
Wolves,Rafa Mir,21,Centre Forward,10000000,Out,loan transfer
Wolves,Ethan Ebanks Landell,26,Centre Back,200000,Out,loan transfer
Wolves,Benik Afobe,25,Centre Forward,1200000,Out,loan transfer
Wolves,Harry Burgoyne,22,Goalkeeper,150000,Out,loan transfer
Wolves,Aaron Collins,21,Centre Forward,1800000,Out,loan transfer
Wolves,Léo Bonatini,24,Centre Forward,1200000,Out,loan transfer
Wolves,Phil Ofosu Ayeh,27,Right Back,400000,Out,loan transfer
Wolves,Connor Ronan,20,Central Midfield,1000000,Out,loan transfer
Wolves,Aaron Collins,21,Centre Forward,1800000,Out,Academy Promotion
Wolves,Joe Mason,27,Centre Forward,200000,Out,free transfer
Wolves,Willy Boly,27,Centre Back,2500000,Out,End of loan
Wolves,Rúben Vinagre,19,Left Back,4000000,Out,End of loan
Wolves,Diogo Jota,21,Left Winger,50000000,Out,End of loan
Wolves,Léo Bonatini,24,Centre Forward,1200000,Out,End of loan
Wolves,Alfred N'Diaye,28,Defensive Midfield,1000000,Out,End of loan
Wolves,Benik Afobe,25,Centre Forward,1200000,Out,End of loan
Wolves,Jonny Otto,24,Left Back,13000000,Out,End of loan
Cardiff,Josh Murphy,23,Left Winger,700000,In,11400000
Cardiff,Bobby De CordovaReid,25,Attacking Midfield,7000000,In,11350000
Cardiff,Greg Cunningham,27,Left Back,300000,In,4000000
Cardiff,Alex Smithies,28,Goalkeeper,500000,In,4000000
Cardiff,Leandro Bacuna,27,Central Midfield,900000,In,3450000
Cardiff,Víctor Camarasa,24,Central Midfield,800000,In,loan transfer
Cardiff,Oumar Niasse,28,Centre Forward,200000,In,loan transfer
Cardiff,Harry Arter,28,Central Midfield,400000,In,loan transfer
Cardiff,Omar Bogle,25,Centre Forward,400000,In,End of loan
Cardiff,Ciaron Brown,21,Left Back,350000,In,End of loan
Cardiff,Stuart O'Keefe,27,Central Midfield,100000,In,End of loan
Cardiff,Rhys Healey,24,Centre Forward,2500000,In,End of loan
Cardiff,Gary Madine,28,Centre Forward,250000,In,End of loan
Cardiff,Matty Kennedy,23,Left Winger,400000,Out,free transfer
Cardiff,Ben Wilson,25,Goalkeeper,900000,Out,free transfer
Cardiff,Omar Bogle,25,Centre Forward,400000,Out,loan transfer
Cardiff,Ciaron Brown,21,Left Back,350000,Out,loan transfer
Cardiff,Omar Bogle,25,Centre Forward,400000,Out,loan transfer
Cardiff,Gary Madine,28,Centre Forward,250000,Out,loan transfer
Cardiff,Rhys Healey,23,Centre Forward,2500000,Out,loan transfer
Cardiff,Stuart O'Keefe,27,Central Midfield,100000,Out,loan transfer
Cardiff,Harry Arter,29,Central Midfield,400000,Out,End of loan
Fulham,Jean Michaël Seri,26,Defensive Midfield,1500000,In,30000000
Fulham,Frank Anguissa,22,Central Midfield,40000000,In,24850000
Fulham,Aleksandar Mitrovic,23,Centre Forward,28000000,In,24700000
Fulham,Joe Bryan,24,Left Back,2200000,In,6700000
Fulham,Fabri,30,Goalkeeper,100000,In,6000000
Fulham,Ryan Babel,32,Left Winger,150000,In,2000000
Fulham,Lazar Markovic,24,Right Winger,2000000,In,free transfer
Fulham,Timothy Fosu Mensah,20,Right Back,2000000,In,loan transfer
Fulham,Luciano Vietto,24,Centre Forward,2500000,In,loan transfer
Fulham,Sergio Rico,24,Goalkeeper,3000000,In,loan transfer
Fulham,Calum Chambers,23,Right Back,8000000,In,loan transfer
Fulham,Cauley Woodrow,24,Centre Forward,1200000,In,End of loan
Fulham,Marcelo Djaló,25,Centre Back,50000,In,End of loan
Fulham,Stefan Johansen,28,Central Midfield,800000,In,End of loan
Fulham,David Button,29,Goalkeeper,250000,Out,4500000
Fulham,Cauley Woodrow,24,Centre Forward,1200000,Out,850000
Fulham,Ryan Fredericks,25,Right Back,1500000,Out,free transfer
Fulham,Aboubakar Kamara,23,Centre Forward,2500000,Out,loan transfer
Fulham,Stefan Johansen,28,Central Midfield,800000,Out,loan transfer
Fulham,Rui Fonte,28,Centre Forward,300000,Out,loan transfer
Fulham,Cauley Woodrow,23,Centre Forward,1200000,Out,loan transfer
Fulham,Marcelo Djaló,24,Centre Back,50000,Out,loan transfer
Fulham,Timothy Fosu Mensah,21,Right Back,2000000,Out,End of loan
Fulham,Calum Chambers,24,Right Back,8000000,Out,End of loan
